date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:15	43940/43940	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:46:15%20GMT	https://quynhtho.myportfolio.com/work	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/work.html	(from )
19:46:15	93/93	---M-Z	200	added ('OK')	text/plain	date:Tue,%2024%20Jun%202025%2012:46:16%20GMT	https://quynhtho.myportfolio.com/robots.txt		(from )
19:46:16	11553/11553	---M-Z	200	added ('OK')	text/css	etag:%226852f34b-2d21%22	https://quynhtho.myportfolio.com/dist/css/main.css	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/dist/css/main.css	(from https://quynhtho.myportfolio.com/work)
19:46:16	2032606/2032606	---M--	200	added ('OK')	image/png	etag:d5a028726505a0c31e49350fc18d2f65	https://cdn.myportfolio.com/762b3ba1-abe9-4cc6-9e5f-e1cfdd9f9e7a/47c7ddf7-bf63-45bc-80a4-ef76e418eee0_rwc_270x0x1382x1081x1382.png?h=d5d67bec955b53efc7133d9851fa97df	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/cdn.myportfolio.com/762b3ba1-abe9-4cc6-9e5f-e1cfdd9f9e7a/47c7ddf7-bf63-45bc-80a4-ef76e418eee0_rwc_270x0x1382x1081x1382920f.png	(from https://quynhtho.myportfolio.com/work)
19:46:17	41441/41441	---M--	200	added ('OK')	text/css	etag:3d85fdee0af272fe3016c5cf9698119e	https://cdn.myportfolio.com/762b3ba1-abe9-4cc6-9e5f-e1cfdd9f9e7a/9f311f818c4d7325107542eb31635b591745447106.css?h=2f5e2d7d4bd34c1e9a262d04f684d047	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/cdn.myportfolio.com/762b3ba1-abe9-4cc6-9e5f-e1cfdd9f9e7a/9f311f818c4d7325107542eb31635b59174544710690b3.css	(from https://quynhtho.myportfolio.com/work)
19:46:18	16989/16989	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2024%20Jun%202025%2012:46:18%20GMT	http://use.typekit.net/ik/H0mym5NzpVsnEJ1WWGEm_DC4YhiFisyOHEo-6K4BQMIfen3gfHYEBsJzwD9oFDIDWDgRjQByFhbuwRiKwQbh5AsKFAIUwRJX5AIoZeJhjDJDFQwDjA9owh9-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPUlpWgzS1scdhUTdkoRdhXCSY4zwKuh-AmaOcuoSeNkieZzde8zOcFzdPJIdeUtjKG4f53VIMMjMkMfH6qJ_6vbMg6BJMJ7fbR32UMMeMS6MTMg6ihaXM9.js?cb=bd7b5dda7c73f1b40ccdf70261c81116ea48c868	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/use.typekit.net/ik/H0mym5NzpVsnEJ1WWGEm_DC4YhiFisyOHEo-6K4BQMIfen3gfHYEBsJzwD9oFDIDWDgRjQByFhbuwRiKwQbh5AsKFAIUwRJX5AIoZeJhjDJDFQwDjA9owh9-mkG0dW83da4XZcNC-Av0jhNlOfG0SY4zwKuh-AmaOcuoS	(from https://quynhtho.myportfolio.com/work)
19:46:18	6709/6709	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:46:17%20GMT	https://quynhtho.myportfolio.com/yotsubii-portfolio	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/yotsubii-portfolio.html	(from https://quynhtho.myportfolio.com/work)
19:46:19	9283/9283	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:46:19%20GMT	https://quynhtho.myportfolio.com/contact	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/contact.html	(from https://quynhtho.myportfolio.com/work)
19:46:19	8293/8293	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:46:19%20GMT	https://quynhtho.myportfolio.com/about-me	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/about-me.html	(from https://quynhtho.myportfolio.com/work)
19:46:19	22581/22581	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Jun%202025%2012:46:20%20GMT	https://quynhtho.myportfolio.com/some-freelance-projects	G:/My%20Drive/CTNHAN/Website/Yeen_PORTFOLIO/Portfolio/quynhtho.myportfolio.com/some-freelance-projects.html	(from https://quynhtho.myportfolio.com/work)
